id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
322402	15417386	['Chia-Hsueh Lee', 'Roderick MacKinnon', 'Lee, Chia-Hsueh', 'MacKinnon, Roderick']	Cell	article	10.1016/j.cell.2016.12.023	19.6	2017-01-12T00:00:00+00:00	2017	1	2	0	0	1	0	0	2	male	0.8	male	0.99	firstlast	Chia-Hsueh Lee, Roderick MacKinnon
330143	591996	['Amita Sehgal']	Cell	article	10.1016/j.cell.2011.12.024	12.796	2012-02-02T00:00:00+00:00	2012	2	0	1	0	0	1	0	1	female	0.91	female	0.91	firstlast	Amita Sehgal
339823	3417056	['Zhang, Chun Li', 'McKinsey, Timothy A', 'Chang, Shurong', 'Antos, Christopher L', 'Hill, Joseph A', 'Olson, Eric N', 'Chun Li Zhang', 'Timothy A. McKinsey', 'Shurong Chang', 'Christopher L. Antos', 'Joseph A. Hill', 'Eric N. Olson']	Cell	article	10.1016/s0092-8674(02)00861-9	9	2016-11-09T18:11:21+00:00	2016	11	6	0	0	1	0	0	6	male	0.84	male	0.99	lastfirst	Zhang Chun, McKinsey Timothy, Chang Shurong, Antos Christopher, Hill Joseph, Olson Eric
341334	3996362	['Ma, Dengke K', 'Li, Zhijie', 'Lu, Alice Y', 'Sun, Fang', 'Chen, Sidi', 'Rothe, Michael', 'Menzel, Ralph', 'Sun, Fei', 'Horvitz, H Robert']	Cell	article	10.1016/j.cell.2015.04.026	4.75	2015-05-20T14:18:02+00:00	2015	5	3	5	1	0.333333333333333	0.555555555555556	0.111111111111111	9	female	0.83			firstlast	Ma Dengke, Li Zhijie, Lu Alice, Sun Fang, Chen Sidi, Rothe Michael, Menzel Ralph, Sun Fei, Horvitz Robert
353336	3935735	['Maruyama, Daisuke', 'Völz, Ronny', 'Takeuchi, Hidenori', 'Mori, Toshiyuki', 'Igawa, Tomoko', 'Kurihara, Daisuke', 'Kawashima, Tomokazu', 'Ueda, Minako', 'Ito, Masaki', 'Umeda, Masaaki', 'Nishikawa, Shuh-Ichi', 'Groß-Hardt, Rita', 'Higashiyama, Tetsuya']	Cell	article	10.1016/j.cell.2015.03.018	64.6	2015-04-29T22:06:48+00:00	2015	4	10	3	0	0.769230769230769	0.230769230769231	0	13	male	1	male	1	lastfirst	Maruyama Daisuke, Völz Ronny, Takeuchi Hidenori, Mori Toshiyuki, Igawa Tomoko, Kurihara Daisuke, Kawashima Tomokazu, Ueda Minako, Ito Masaki, Umeda Masaaki, Nishikawa Shuh-Ichi, Groß-Hardt Rita, Higashiyama Tetsuya
365480	29686125	['Stern, Shay', 'Kirst, Christoph', 'Bargmann, Cornelia I.', 'Shay Stern', 'Christoph Kirst', 'Cornelia I. Bargmann']	Cell	article	10.1016/j.cell.2017.10.041	115.526	2017-11-01T00:00:00+00:00	2017	11	1	2	0	0.333333333333333	0.666666666666667	0	3	male	0.68	female	0.98	lastfirst	Stern Shay, Kirst Christoph, Bargmann Cornelia
368626	6157375	['Thomas Stoeger', 'Nico Battich', 'Lucas Pelkmans', 'Stoeger, Thomas', 'Battich, Nico', 'Pelkmans, Lucas']	Cell	article	10.1016/j.cell.2016.02.005	2.6	2016-03-10T00:00:00+00:00	2016	3	3	0	0	1	0	0	3	male	0.99	male	0.98	firstlast	Thomas Stoeger, Nico Battich, Lucas Pelkmans
369924	2052947	"['Galvez T', 'Gilleron J', 'Zerial M', """"O'Sullivan GA"""", 'Thierry Galvez', 'Jérôme Gilleron', 'Marino Zerial', """"Gregory A. O'Sullivan""""]"	Cell	article	10.1016/j.cell.2012.09.013	7.524	2012-10-03T00:00:00+00:00	2012	10	4	0	0	1	0	0	4	male	0.99	male	0.98	lastfirst	Galvez Thierry, Gilleron Jérôme, Zerial Marino, Gregory O'Sullivan
370243	4994016	['Kim, Hoseok', 'Ährlund-Richter, Sofie', 'Wang, Xinming', 'Deisseroth, Karl', 'Carlén, Marie', 'Hoseok Kim', 'Sofie Ährlund-Richter', 'Xinming Wang', 'Karl Deisseroth', 'Marie Carlén']	Cell	article	10.1016/j.cell.2015.11.038	134.832	2016-01-16T22:00:20+00:00	2016	1	1	2	2	0.2	0.4	0.4	5	female	0.56			firstlast	Kim Hoseok, Ährlund-Richter Sofie, Wang Xinming, Deisseroth Karl, Carlén Marie
370378	29012971	['Cleary, Brian', 'Cong, Le', 'Cheung, Anthea', 'Lander, Eric S.', 'Regev, Aviv', 'Brian Cleary', 'Le Cong', 'Anthea Cheung', 'Eric S. Lander', 'Aviv Regev']	Cell	article	10.1016/j.cell.2017.10.023	61.45	2017-11-01T00:00:00+00:00	2017	11	4	1	0	0.8	0.2	0	5	male	0.99	male	0.94	lastfirst	Cleary Brian, Cong Le, Cheung Anthea, Lander Eric, Regev Aviv
371434	6532244	['Sophie Petropoulos', 'Daniel Edsgärd', 'Björn Reinius', 'Qiaolin Deng', 'Sarita\xa0Pauliina Panula', 'Simone Codeluppi', 'Alvaro Plaza\xa0Reyes', 'Sten Linnarsson', 'Rickard Sandberg', 'Fredrik Lanner', 'Petropoulos, Sophie', 'Edsgärd, Daniel', 'Reinius, Björn', 'Deng, Qiaolin', 'Panula, Sarita Pauliina', 'Codeluppi, Simone', 'Plaza Reyes, Alvaro', 'Linnarsson, Sten', 'Sandberg, Rickard', 'Lanner, Fredrik']	Cell	article	10.1016/j.cell.2016.03.023	187.596	2016-04-07T00:00:00+00:00	2016	4	7	3	0	0.7	0.3	0	10	female	0.98	male	0.99	firstlast	Sophie Petropoulos, Daniel Edsgärd, Björn Reinius, Qiaolin Deng, Sarita Pauliina, Simone Codeluppi, Alvaro Plaza, Sten Linnarsson, Rickard Sandberg, Fredrik Lanner
